HCP_ID,HCP_Name,Specialty,Territory,Segment,Market_Potential,Prior_Period_Sales,Current_Period_Sales,Sales_Target,Target_Attainment_Pct,Sales_Growth_Pct,Rep_Calls_Last_90_Days,Digital_Engagement_Score,Days_Since_Last_Visit,Competitor_Share_Pct,Formulary_Access,Patient_Growth_Pct
HCP1001,Dr. A1,Neurologist,Central,High,151,40,35,44,79.5,-12.5,10,74,88,30,High,0.128
HCP1002,Dr. B2,Dermatologist,South,Medium,493,313,251,406,61.8,-19.8,0,75,58,41.5,High,0.002
HCP1003,Dr. C3,Diabetologist,South,High,267,227,208,243,85.6,-8.4,2,54,64,38,Low,0.138
HCP1004,Dr. D4,Cardiologist,South,Low,395,33,40,37,108.1,21.2,4,1,84,24.5,Medium,0.113
HCP1005,Dr. E5,Diabetologist,North,Medium,439,407,389,480,81,-4.4,9,3,54,11.9,Medium,0.057
HCP1006,Dr. F6,Oncologist,West,Medium,383,290,245,319,76.8,-15.5,8,61,40,60.7,Medium,0.089
HCP1007,Dr. G7,Oncologist,North,Medium,459,60,57,65,87.7,-5,8,70,9,56.3,High,-0.098
HCP1008,Dr. H8,Diabetologist,East,Medium,242,182,216,194,111.3,18.7,6,40,28,61.8,Medium,0.016
HCP1009,Dr. I9,Dermatologist,East,Medium,293,54,56,58,96.6,3.7,2,0,5,43.7,Medium,0.073
,,,,,,,,,,,,,,,,
HCP1011,Dr. K11,Diabetologist,Central,High,239,90,85,98,86.7,-5.6,1,41,45,27.7,High,0.06
HCP1012,Dr. L12,Neurologist,West,Medium,410,147,177,187,94.7,20.4,6,61,1,23.7,High,0.186
HCP1013,Dr. M13,Cardiologist,East,High,490,156,163,191,85.3,4.5,9,43,24,66.6,High,0.082
HCP1014,Dr. N14,Cardiologist,West,Medium,131,31,29,36,80.6,-6.5,0,100,56,12.2,Medium,0.076
HCP1015,Dr. O15,,North,Medium,205,149,159,173,91.9,6.7,5,31,68,14.9,High,-0.015
HCP1016,Dr. P16,Dermatologist,West,Low,474,259,311,282,110.3,20.1,10,69,80,12.4,Medium,0.137
HCP1017,Dr. Q17,Diabetologist,South,Medium,226,167,187,183,102.2,12,0,39,39,66.2,High,0.019
HCP1018,Dr. R18,Cardiologist,South,Low,377,118,108,129,83.7,-8.5,8,59,2,69.8,Low,0.095
HCP1019,Dr. S19,Diabetologist,North,Medium,226,67,82,85,96.5,22.4,5,32,24,61.1,Low,0.175
HCP1020,Dr. T20,Neurologist,East,Medium,178,172,138,188,73.4,,1,65,54,36.9,Low,-0.038
HCP1021,Dr. U21,Neurologist,North,Medium,383,154,179,174,102.9,16.2,11,58,86,25.9,High,0.241
HCP1022,Dr. V22,Dermatologist,East,Low,362,46,55,54,101.9,19.6,11,63,69,23.8,Medium,0.1
